,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLV,155.04,0.0713250451153016,39600.0,255,0.33,152.97000122070312,2026-01-05 00:00:00-05:00,2026-03-18 07:58:47
XLF,56.13,0.0628660193606652,39600.0,705,0.33,54.34000015258789,2026-01-02 00:00:00-05:00,2026-03-18 07:58:47
XLB,48.52,0.0957729958609979,39600.0,816,0.33,45.27000045776367,2026-01-02 00:00:00-05:00,2026-03-18 07:58:47
XLV,157.38,0.0851330179113832,39600.0,251,0.33,152.97000122070312,2026-01-05 00:00:00-05:00,2026-03-18 07:58:47
XLI,163.17,0.0811276617523783,39600.0,242,0.33,154.97999572753906,2026-01-02 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.195,0.1081798300506329,39600.0,804,0.33,46.27000045776367,2026-01-08 00:00:00-05:00,2026-03-18 07:58:47
XLE,48.7,0.1064686445340708,39600.0,813,0.33,45.08000183105469,2026-01-07 00:00:00-05:00,2026-03-18 07:58:47
XLI,166.375,0.0987473022596686,39600.0,238,0.33,158.8699951171875,2026-01-07 00:00:00-05:00,2026-03-18 07:58:47
XLB,50.2746,0.1273308127703205,39600.0,787,0.33,48.02000045776367,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,49.085,0.1136336320392623,39600.0,806,0.33,46.09999847412109,2026-01-12 00:00:00-05:00,2026-03-18 07:58:47
XLV,158.15,0.0895873268189887,39600.0,250,0.33,153.22999572753906,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,50.015,0.1300281309467544,39600.0,791,0.33,46.68000030517578,2026-01-13 00:00:00-05:00,2026-03-18 07:58:47
XLB,50.025,0.1228889791951397,39600.0,791,0.33,48.02000045776367,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLK,149.255,0.0901668957872495,39600.0,265,0.33,141.61000061035156,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,50.515,0.1388105072970545,39600.0,783,0.33,47.27000045776367,2026-01-15 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.32,0.1103499073243994,39600.0,802,0.33,48.02000045776367,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLI,165.385,0.0933792948512593,39600.0,239,0.33,163.17999267578125,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,50.3801,0.1072254283148451,39600.0,786,0.33,47.5,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.615,0.0926978814994109,39600.0,798,0.33,48.02000045776367,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
